Characteristic,Very favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,"Heard of, no opinion",Never heard of
Jimmy Fallon,29.0,29.0,8.0,10.0,18.0,5.0
Jimmy Kimmel,26.0,30.0,8.0,12.0,19.0,5.0
Stephen Colbert,23.0,21.0,9.0,14.0,21.0,13.0
James Corden,19.0,21.0,6.0,5.0,20.0,29.0
Conan O'Brien,18.0,30.0,11.0,11.0,23.0,7.0
Trevor Noah,16.0,14.0,7.0,8.0,18.0,37.0
Seth Meyers,14.0,26.0,8.0,8.0,26.0,17.0
Bill Maher,12.0,17.0,8.0,16.0,27.0,20.0
John Oliver,12.0,14.0,5.0,6.0,21.0,41.0
Carson Daly,10.0,26.0,9.0,6.0,31.0,18.0
